Время (s),Высота (m),Корабль,Смена фокуса
0.00,286766.64,Ева-14,
1.00,286460.07,Ева-14,
2.03,286178.66,Ева-14,
3.03,285918.14,Ева-14,
4.04,285634.81,Ева-14,
5.07,285314.53,Ева-14,
6.09,285038.85,Ева-14,
7.10,284694.98,Ева-14,
8.10,284223.53,Ева-14,
9.13,283824.23,Ева-14,
10.14,283396.91,Ева-14,
11.16,282971.25,Ева-14,
12.17,282388.95,Ева-14,
13.19,281938.24,Ева-14,
14.19,281679.39,Ева-14,
15.20,281422.07,Ева-14,
16.23,280992.84,Ева-14,
17.24,280560.93,Ева-14,
18.30,280309.41,Ева-14,
19.33,280034.79,Ева-14,
20.34,279765.56,Ева-14,
21.35,279536.70,Ева-14,
22.36,279234.24,Ева-14,
23.38,278839.93,Ева-14,
24.41,278289.78,Ева-14,
25.41,277969.19,Ева-14,
26.42,277564.31,Ева-14,
27.43,277103.53,Ева-14,
28.45,276787.02,Ева-14 Зонд,
29.46,276329.80,Ева-14 Зонд,
30.49,276052.76,Ева-14 Зонд,ДА
31.50,275770.86,Ева-14 Зонд,
32.53,275392.57,Ева-14 Зонд,
33.55,274960.82,Ева-14 Зонд,
34.56,274753.98,Ева-14 Зонд,
35.56,274292.36,Ева-14 Зонд,
36.59,273891.32,Ева-14 Зонд,
37.60,273430.68,Ева-14 Зонд,
38.61,273028.25,Ева-14 Зонд,
39.63,272671.55,Ева-14 Зонд,
40.65,272312.04,Ева-14 Зонд,
41.66,271877.90,Ева-14 Зонд,
42.69,271556.13,Ева-14 Зонд,
43.70,271134.63,Ева-14 Зонд,
44.73,270603.57,Ева-14 Зонд,
45.73,270169.45,Ева-14 Зонд,
46.75,269739.82,Ева-14 Зонд,
47.76,269369.30,Ева-14 Зонд,
48.79,268905.06,Ева-14 Зонд,
49.80,268385.22,Ева-14 Зонд,
50.82,267831.90,Ева-14 Зонд,
51.85,267338.91,Ева-14 Зонд,
52.86,266920.21,Ева-14 Зонд,
53.89,266452.99,Ева-14 Зонд,
54.90,266052.52,Ева-14 Зонд,
55.91,265483.10,Ева-14 Зонд,
56.92,265026.58,Ева-14 Зонд,
57.92,236698.49,Ева-14 Зонд,
58.95,186585.66,Ева-14 Зонд,
59.96,136252.17,Ева-14 Зонд,
60.96,104146.67,Ева-14 Зонд,
61.97,90001.08,Ева-14 Зонд,
62.99,89560.23,Ева-14 Зонд,
63.99,89137.65,Ева-14 Зонд,
65.00,88549.34,Ева-14 Зонд,
66.01,86852.48,Ева-14 Зонд,
67.03,85170.01,Ева-14 Зонд,
68.06,83510.54,Ева-14 Зонд,
69.07,82033.96,Ева-14 Зонд,
70.08,80419.89,Ева-14 Зонд,
71.08,78862.00,Ева-14 Зонд,
72.09,77329.40,Ева-14 Зонд,
73.10,75792.42,Ева-14 Зонд,
74.11,74310.66,Ева-14 Зонд,
75.12,72825.95,Ева-14 Зонд,
76.13,71398.51,Ева-14 Зонд,
77.14,69968.87,Ева-14 Зонд,
78.16,68566.90,Ева-14 Зонд,
79.17,67218.79,Ева-14 Зонд,
80.17,65896.06,Ева-14 Зонд,
81.19,64573.16,Ева-14 Зонд,
82.20,63275.11,Ева-14 Зонд,
83.21,62025.28,Ева-14 Зонд,
84.21,60796.84,Ева-14 Зонд,
85.22,59563.03,Ева-14 Зонд,
86.23,58184.28,Ева-14 Зонд,
87.23,57192.47,Ева-14 Зонд,
88.24,56000.22,Ева-14 Зонд,
89.25,54858.29,Ева-14 Зонд,
90.25,53668.00,Ева-14 Зонд,
91.27,52470.07,Ева-14 Зонд,
92.29,51258.50,Ева-14 Зонд,
93.29,50051.65,Ева-14 Зонд,
94.30,48822.11,Ева-14 Зонд,
95.30,47587.28,Ева-14 Зонд,
96.32,46367.76,Ева-14 Зонд,
97.32,45239.15,Ева-14 Зонд,
98.32,44158.23,Ева-14 Зонд,
99.34,43074.53,Ева-14 Зонд,
100.34,42016.76,Ева-14 Зонд,
101.34,40960.37,Ева-14 Зонд,
102.35,39901.93,Ева-14 Зонд,
103.37,38816.92,Ева-14 Зонд,
104.38,37719.87,Ева-14 Зонд,
105.41,36602.20,Ева-14 Зонд,
106.42,35460.77,Ева-14 Зонд,
107.43,34332.75,Ева-14 Зонд,
108.44,33195.16,Ева-14 Зонд,
109.47,32088.94,Ева-14 Зонд,
110.48,31024.84,Ева-14 Зонд,
111.48,30026.73,Ева-14 Зонд,
112.50,29054.76,Ева-14 Зонд,
113.53,28115.88,Ева-14 Зонд,
114.53,27206.48,Ева-14 Зонд,
115.54,26285.75,Ева-14 Зонд,
