Время (с),Скорость (м/с),Корабль,Смена фокуса
0.00,2657.39,Ева-14,
1.01,2658.54,Ева-14,
2.01,2659.67,Ева-14,
3.03,2660.82,Ева-14,
4.03,2661.96,Ева-14,
5.06,2663.13,Ева-14,
6.07,2664.29,Ева-14,
7.09,2665.46,Ева-14,
8.10,2666.61,Ева-14,
9.11,2667.79,Ева-14,
10.12,2668.95,Ева-14,
11.13,2670.14,Ева-14,
12.16,2671.33,Ева-14,
13.17,2672.52,Ева-14,
14.20,2673.72,Ева-14,
15.21,2674.92,Ева-14,
16.23,2676.12,Ева-14,
17.25,2676.55,Ева-14,
18.27,2677.76,Ева-14,
19.27,2678.95,Ева-14,
20.29,2680.17,Ева-14,
21.31,2681.40,Ева-14,
22.32,2707.33,Ева-14,
23.33,2736.11,Ева-14,
24.33,2764.64,Ева-14,
25.34,2793.35,Ева-14,
26.36,2822.90,Ева-14,
27.37,2852.68,Ева-14,
28.38,2856.15,Ева-14,
29.39,2857.42,Ева-14 Зонд,
30.42,2858.67,Ева-14 Зонд,
31.43,2695.88,Ева-14 Зонд,ДА
32.46,2697.14,Ева-14 Зонд,
33.47,2698.40,Ева-14 Зонд,
34.49,2699.67,Ева-14 Зонд,
35.49,2700.91,Ева-14 Зонд,
36.52,2702.18,Ева-14 Зонд,
37.53,2703.46,Ева-14 Зонд,
38.53,2704.72,Ева-14 Зонд,
39.55,2706.00,Ева-14 Зонд,
40.56,2707.26,Ева-14 Зонд,
41.57,2708.55,Ева-14 Зонд,
42.59,2709.85,Ева-14 Зонд,
43.62,2711.15,Ева-14 Зонд,
44.63,2712.45,Ева-14 Зонд,
45.65,2713.76,Ева-14 Зонд,
46.67,2715.06,Ева-14 Зонд,
47.69,2716.38,Ева-14 Зонд,
48.72,2717.69,Ева-14 Зонд,
49.72,2718.99,Ева-14 Зонд,
50.73,2720.31,Ева-14 Зонд,
51.75,2721.64,Ева-14 Зонд,
52.75,2722.94,Ева-14 Зонд,
53.78,2724.28,Ева-14 Зонд,
54.79,2725.61,Ева-14 Зонд,
55.79,2726.93,Ева-14 Зонд,
56.82,2728.27,Ева-14 Зонд,
57.83,2729.62,Ева-14 Зонд,
58.83,2899.41,Ева-14 Зонд,
59.85,3080.16,Ева-14 Зонд,
60.87,3247.25,Ева-14 Зонд,
61.89,3337.15,Ева-14 Зонд,
62.90,3349.59,Ева-14 Зонд,
63.90,3351.24,Ева-14 Зонд,
64.92,3352.92,Ева-14 Зонд,
65.93,3357.60,Ева-14 Зонд,
66.94,3364.11,Ева-14 Зонд,
67.96,3370.38,Ева-14 Зонд,
68.96,3376.13,Ева-14 Зонд,
69.97,3380.87,Ева-14 Зонд,
71.00,3385.68,Ева-14 Зонд,
72.02,3390.28,Ева-14 Зонд,
73.03,3393.96,Ева-14 Зонд,
74.04,3396.92,Ева-14 Зонд,
75.05,3398.71,Ева-14 Зонд,
76.06,3399.31,Ева-14 Зонд,
77.07,3398.26,Ева-14 Зонд,
78.07,3395.44,Ева-14 Зонд,
79.10,3390.70,Ева-14 Зонд,
80.10,3383.83,Ева-14 Зонд,
