Время (с),Скорость (м/с)
0,0.0035869509799601
1,0.003592947889101826
2,0.0035767237057386303
3,0.0035926788794916234
4,0.003592693505351624
5,0.0035828109903663346
6,0.0035875870465181077
7,0.003579807883414158
8,0.7357442460497196
9,10.023244111555636
10,28.440330586775296
11,47.66251286294765
12,65.99550758253274
13,84.90311824166682
14,104.80232908320525
15,124.12009365475103
16,144.10106354402967
17,164.65471237414894
18,184.25106670452172
19,204.93087089468114
20,226.12871473008178
21,246.77127891168243
22,268.3478966319355
23,289.736721490229
24,311.53993034176557
25,332.1711299540472
26,354.63092510768075
27,375.33230926785427
28,395.9602047758298
29,416.43631134908804
30,438.92070040306714
31,461.1843018380065
32,483.16387177195566
33,504.9400023296299
34,529.1104437791216
35,553.7617714142315
36,578.8670514131936
37,603.7039732784268
38,627.5001995945978
39,653.9217318271333
40,680.7025457864382
41,709.4564726405056
42,738.0861052290429
43,763.0440458937791
44,792.0536812993778
45,821.752601340432
46,850.5214974425303
47,879.8830649356916
48,909.6124573053008
49,942.1046783656031
50,976.2329776767423
51,1011.2526009182304
52,1047.2981203699064
53,1085.1705621637616
54,1124.9921648430209
55,1163.4309433279643
56,1180.174375536457
57,1172.0968939455488
58,1180.4277071091446
59,1188.7690330715454
60,1196.432995281532
61,1203.1998497442528
62,1209.7201673756601
63,1216.6256737343424
64,1225.832930217821
65,1236.9821832729622
66,1248.6610643774525
67,1260.4452608698537
68,1272.540441727419
69,1284.7031950223559
70,1296.8930580642636
71,1308.3495333165622
72,1321.1333463056571
73,1334.157385059409
74,1346.1599516606288
75,1358.1364067872144
76,1370.153539736933
77,1381.6264142210914
78,1393.820129219155
79,1405.987353409977
80,1418.1012541790626
81,1430.1534370799961
82,1442.6599160278354
83,1454.4350888426725
84,1466.8767338576542
85,1479.2595658963517
86,1490.5465562316174
87,1502.051060366074
88,1513.7296234901157
89,1525.1049837922317
90,1536.9215991806698
91,1548.6261128120127
92,1561.5901878297373
93,1575.064591108556
94,1589.3728145681475
95,1604.5547468145144
96,1619.6990888868334
97,1635.0668414595234
98,1651.293144840603
99,1668.4110567139376
100,1685.738286344627
101,1702.5031775865687
102,1721.2734515403997
103,1741.0058922595547
104,1760.9272562890317
105,1781.4194056466765
106,1788.439923429526
107,1783.9085609758092
108,1779.303660763139
109,1774.6263168986768
110,1770.2421091533054
111,1765.6029085410735
112,1761.1640398569853
113,1756.652991635235
114,1752.1605286282916
115,1747.8650930777455
116,1743.4086627507952
